month,monthly_return
200001,
200002,-0.03156907059791858
200003,-0.021351390341741605
200004,0.09192354601141917
200005,-0.025046960913140293
200006,-0.013240211816788805
200007,0.014308280006219976
200008,-0.021394492266705756
200009,0.05748560279511472
200010,-0.05559028576852132
200011,-0.01045097874923906
200012,-0.07457676725821916
200101,
200102,0.07028914382337081
200103,-0.09628167618671579
200104,-0.07682700751395
200105,0.10522131352256947
200106,-0.004555997338053119
200107,-0.018997891727488336
200108,-0.01681052905063829
200109,-0.0682523741616472
200110,-0.08331411806056199
200111,0.04385915444697064
200112,0.04224707039381026
200201,
200202,-0.028120668037353136
200203,0.00853687258804725
200204,0.01304141230786815
200205,-0.052401203583261835
200206,-0.04213676402567412
200207,-0.06921438507747157
200208,-0.08670835587570269
200209,-0.007505655509068676
200210,-0.03429312124340855
200211,0.06256566226282612
200212,0.037260262586878756
200301,
200302,-0.05358461265969905
200303,-0.02965176770554878
200304,0.02835373564847976
200305,0.0673516090614017
200306,0.05533123721922384
200307,0.015842820062047513
200308,-0.0022090387903501707
200309,0.04268730804010068
200310,-0.0036889001231803498
200311,0.040069975213636866
200312,0.010481364648800673
200401,
200402,0.02415923650691454
200403,0.01824248261858541
200404,-0.020588706970831927
200405,-0.012966297843506558
200406,0.003319905353246222
200407,0.006903309256387935
200408,-0.01977071161130972
200409,-0.0006415580806490295
200410,0.023139283678838662
200411,-0.0008749359257622658
200412,0.05383409652427584
200501,
200502,-0.010539999387528254
200503,0.017655812041013963
200504,-0.030972966967324433
200505,-0.00917369436650195
200506,0.034470241471064034
200507,-0.006471386424839132
200508,0.03425039099559046
200509,-0.011138552043813643
200510,0.004183060717772857
200511,-0.019515726710907844
200512,0.05147330596733091
200601,
200602,0.010766008411464023
200603,0.00684624024687186
200604,0.005088185814319468
200605,0.005686411465855468
200606,-0.014925015423483123
200607,-0.004293363330331923
200608,-0.007241032524251123
200609,0.031544050461131956
200610,0.01549182374282565
200611,0.02740897340991233
200612,0.021128592972279092
200701,
200702,0.020711538540926888
200703,-0.029579303944270885
200704,0.015236930899017898
200705,0.04334702037555438
200706,0.03366743951442874
200707,-0.0110066211738451
200708,-0.03528954482560209
200709,0.016107124422455543
200710,0.038686195497446896
200711,-0.024950936644762445
200712,-0.0238789069560974
200801,
200802,-0.03575277701457036
200803,-0.04592171244460064
200804,0.029173681397618223
200805,0.028580121193327646
200806,-0.016795040636774283
200807,-0.07271573087423977
200808,-0.019145289825015177
200809,0.013702895471375598
200810,-0.0912036044810961
200811,-0.16774332170873507
200812,-0.15532440014891113
200901,
200902,-0.11414465268269558
200903,-0.150974019550848
200904,0.15732999757240096
200905,0.08191547271223176
200906,0.07447120693611065
200907,-0.020723936601673265
200908,0.0858847720099627
200909,-0.004577986871637574
200910,0.03187246873992455
200911,0.012652356463229264
200912,0.06326708699338823
201001,
201002,-0.03865881374644797
201003,0.024348388652627007
201004,0.05591956438578394
201005,0.020507626255991118
201006,-0.10941896753265534
201007,-0.04047778350686326
201008,0.09586613438131408
201009,-0.0404756777993136
201010,0.06104837462080881
201011,0.033274022310109785
201012,0.018313329259556532
201101,
201102,0.02808460860026818
201103,-0.0009636124723826356
201104,0.019964387925281546
201105,0.021622425728445194
201106,-0.03428536386056302
201107,0.019109196351336566
201108,-0.03936051510307559
201109,-0.06412101635129852
201110,-0.08733669331062699
201111,0.10830313143387871
201112,0.021587751891154028
201201,
201202,0.03682669947161821
201203,0.037761784534208864
201204,0.03271261279263271
201205,-0.009316222683410813
201206,-0.09089350834975285
201207,0.06844071259961515
201208,0.0071840820851984954
201209,0.021536803189794007
201210,0.02815070441505796
201211,-0.011699647707492988
201212,-0.012699728515743858
201301,
201302,0.0347027519269969
201303,0.0033240857628291653
201304,0.02896199079115891
201305,0.013141915682515881
201306,0.036469384461363274
201307,-0.015520465683848905
201308,0.05691164872167387
201309,-0.0393117080952613
201310,0.033681540293071244
201311,0.03931564306784652
201312,0.022286056552819566
201401,
201402,-0.049176282483174405
201403,0.05961338781771475
201404,0.021557887898640438
201405,-0.000975840076203438
201406,0.021919814308337893
201407,0.025117261946108638
201408,-0.024410599050418758
201409,0.04006441266314531
201410,-0.028028045122154066
201411,0.03681610132170654
201412,0.017657698672420175
201501,
201502,-0.018146912782625035
201503,0.04777193663385537
201504,-0.02725050884145308
201505,0.02359583208742766
201506,0.001631626074385828
201507,-0.016247369846025483
201508,0.009925830007516456
201509,-0.0877914909039541
201510,0.00520937906577057
201511,0.09368345690288415
201512,-0.0006749677844758439
201601,
201602,-0.03640954148344755
201603,0.02009403567095136
201604,0.04773172297397399
201605,0.004173092599784045
201606,0.008599927254240969
201607,0.001724299117101591
201608,0.03228328708808137
201609,9.221775528533982e-06
201610,-0.00444992101004138
201611,-0.02289467940118428
201612,0.037580791056505136
201701,
201702,0.009619843057117716
201703,0.05106705687425772
201704,-0.015492693368927335
201705,0.012501903011578719
201706,0.017472451309973325
201707,-0.000432108250210117
201708,0.019489457764729323
201709,8.074423731985192e-05
201710,0.021227137332123336
201711,0.019864612068956955
201712,0.024370332715237364
201801,
201802,0.04680222947413526
201803,-0.05113787447918039
201804,-0.035773654628966645
201805,0.02824305130541971
201806,0.03006632007185117
201807,-0.0028925977508998946
201808,0.03177827757236851
201809,0.029630001432304987
201810,0.009621267253658194
201811,-0.06299001414108596
201812,0.018245710566548334
201901,
201902,0.07828591599690382
201903,0.03589833142767618
201904,0.02264872412295027
201905,0.01971966983822515
201906,-0.06131894197698795
201907,0.08011810414683707
201908,-0.0036332050468773636
201909,-0.016011199384925012
