Date,Open,High,Low,Close,Adj Close,Volume,year,month,day,MarketCap,Parameter1,Parameter2,Parameter3,ReturnClose
2000-02-08,1424.23999,1441.829956,1424.23999,1441.719971,1441.719971,1047700000,2000,2,8,1492176237523.0,-9.1271931068726e-05,0.012273199125661272,0.14116109356279272,0.012273199125661272
2000-02-09,1441.719971,1444.550049,1411.650024,1411.709961,1411.709961,1050500000,2000,2,9,1514526829535.5,0.012273199125661272,-0.020815422275925477,0.0026725207597595446,-0.020815422275925477
2000-02-10,1411.699951,1422.099976,1406.430054,1416.829956,1416.829956,1058800000,2000,2,10,1494707908118.8,-0.020822365371811813,0.0036339202224708878,0.007900999524036223,0.0036268037638362838
2000-02-11,1416.829956,1416.829956,1378.890015,1387.119995,1387.119995,1025700000,2000,2,11,1453242485869.2,0.0036339202224708878,-0.020969320188484186,-0.03126180581790705,-0.020969320188484186
2000-02-14,1387.119995,1394.930054,1380.530029,1389.939941,1389.939941,927300000,2000,2,14,1286276371363.5,-0.020969320188484186,0.002032950292811586,-0.09593448376718339,0.002032950292811586
2000-02-15,1389.939941,1407.719971,1376.25,1402.050049,1402.050049,1092100000,2000,2,15,1517953409566.1,0.002032950292811586,0.008712684370583146,0.17772026312951583,0.008712684370583146
2000-02-16,1402.050049,1404.550049,1385.579956,1387.670044,1387.670044,1018800000,2000,2,16,1428408589921.2,0.008712684370583146,-0.01025641346416728,-0.06711839575130485,-0.01025641346416728
2000-02-17,1387.670044,1399.880005,1380.069946,1388.26001,1388.26001,1034800000,2000,2,17,1435960961531.2,-0.01025641346416728,0.0004251486169575269,0.01570475068708288,0.0004251486169575269
2000-02-18,1388.26001,1388.589966,1345.319946,1346.089966,1346.089966,1042300000,2000,2,18,1446983408423.0,0.0004251486169575269,-0.03037618579822088,0.007247777348279971,-0.03037618579822088
2000-02-22,1346.089966,1358.109985,1331.880005,1352.170044,1352.170044,980000000,2000,2,22,1319168166680.0,-0.03037618579822088,0.004516843712955687,-0.05977165883143054,0.004516843712955687
2000-02-23,1352.170044,1370.109985,1342.439941,1360.689941,1360.689941,993700000,2000,2,23,1343651372722.8,0.004516843712955687,0.0063009064856935915,0.013979591836734695,0.0063009064856935915
2000-02-24,1360.689941,1364.800049,1329.880005,1353.430054,1353.430054,1215000000,2000,2,24,1653238278315.0,0.0063009064856935915,-0.005335445483388157,0.22270302908322437,-0.005335445483388157
2000-02-25,1353.430054,1362.140015,1329.150024,1333.359985,1333.359985,1065200000,2000,2,25,1441673693520.7998,-0.005335445483388157,-0.014829040437430607,-0.12329218106995887,-0.014829040437430607
2000-02-28,1333.359985,1360.819946,1325.069946,1348.050049,1348.050049,1026500000,2000,2,28,1368694024602.5,-0.014829040437430607,0.011017327777389285,-0.036331205407435174,0.011017327777389285
2000-02-29,1348.050049,1369.630005,1348.050049,1366.420044,1366.420044,1204300000,2000,2,29,1623456674010.7,0.011017327777389285,0.01362708677888258,0.1732099366780322,0.01362708677888258
2000-03-01,1366.420044,1383.459961,1366.420044,1379.189941,1379.189941,1274100000,2000,3,1,1740955778060.4,0.01362708677888258,0.009345513523512095,0.05795898032051805,0.009345513523512095
2000-03-02,1379.189941,1386.560059,1370.349976,1381.76001,1381.76001,1198600000,2000,3,2,1653097063282.6,0.009345513523512095,0.001863462691829465,-0.05925751510870414,0.001863462691829465
2000-03-03,1381.76001,1410.880005,1381.76001,1409.170044,1409.170044,1150300000,2000,3,3,1589438539503.0,0.001863462691829465,0.019837043916186348,-0.040297013182045704,0.019837043916186348
